parameter,value,valuemin,valuemax,pft.start,pft.end,org.start,org.end
fates_leaf_vcmax25top,40,20,60,1,2,0,0
fates_alloc_storage_cushion,3.75,1.875,5.625,1,2,0,0
fates_allom_agb1,0.000964,0.000482,0.001446,1,2,0,0
fates_allom_agb2,1.9492,0.9746,2.9238,1,2,0,0
fates_allom_agb3,0,0,0,1,2,0,0
fates_allom_agb4,0,0,0,1,2,0,0
fates_allom_agb_frac,1,0.5,1.5,1,2,0,0
fates_allom_d2bl1,0.000964,0.000482,0.001446,1,2,0,0
fates_allom_d2bl2,1.9492,0.9746,2.9238,1,2,0,0
fates_allom_d2bl3,0,0,0,1,2,0,0
fates_allom_d2ca_coefficient_max,0.03,0.015,0.045,1,2,0,0
fates_allom_d2ca_coefficient_min,0.01,0.005,0.015,1,2,0,0
fates_allom_d2h1,1,0.5,1.5,1,2,0,0
fates_allom_d2h2,1,0.5,1.5,1,2,0,0
fates_allom_dbh_maxheight,1,0.5,1.5,1,2,0,0
fates_allom_hmode,3,1.5,4.5,1,2,0,0
fates_allom_l2fr,1.25,0.625,1.875,1,2,0,0
fates_allom_la_per_sa_int,1000,500,1500,1,2,0,0
fates_allom_sai_scaler,0.0012,0.0006,0.0018,1,2,0,0
fates_branch_turnover,50,25,75,1,2,0,0
fates_leaf_slamax,0.02,0.01,0.03,1,2,0,0
fates_leaf_slatop,0.01,0.005,0.015,1,2,0,0
fates_recruit_hgt_min,0.05,0.025,0.075,1,2,0,0
fates_recruit_initd,0.02,0.01,0.03,1,2,0,0
fates_seed_alloc_mature,0,0,0,1,2,0,0
fates_seed_dbh_repro_threshold,0.02,0.01,0.03,1,2,0,0
fates_seed_suppl,0.28,0.14,0.42,1,2,0,0
fates_wood_density,0.01,0.005,0.015,1,2,0,0
fates_leaf_long,0.5,0.25,0.75,1,2,0,0
